,ID,Tweet Time,Convo ID,Likes Count,Retweets Count,Tweets,Tweets(rendered),in_reply_to_tweet_id,in_reply_to,User,User Location,Followers Count,Followings Count,Likes Count,Tweets Count
10,1250607573096529921,2020-04-16 02:10:55+00:00,1250589721178210304,40,27,"@AngrySipelebegu @DivHumas_Polri Silahkan Aku tantang kau dan datang minta tolong ke Kantor Menkopolhukam banyak saksi2, Kau jual Aku beli Mauliate Shalom.","@AngrySipelebegu @DivHumas_Polri Silahkan Aku tantang kau dan datang minta tolong ke Kantor Menkopolhukam banyak saksi2, Kau jual Aku beli Mauliate Shalom.",1.2506067232760095e+18,https://twitter.com/SautSipelebegu,ruhutsitompul,Jakarta,2341374,194787,3630,22683
11,1250589721178210304,2020-04-16 00:59:59+00:00,1250589721178210304,500,547,"@AngrySipelebegu In manusia tdk ta’u berterima kasih/mauliate Dia bisa jadi Komisioner KPK krn Jasa Pak LBP, Aku Komisi 3 pada waktu itu diminta memilih tapi tak Aku pilih dan Dia datang memohon Kepada Menkopolhukam Pak LBP pada waktu itu Shalom MERDEKA🇮🇩👍.","@AngrySipelebegu In manusia tdk ta’u berterima kasih/mauliate Dia bisa jadi Komisioner KPK krn Jasa Pak LBP, Aku Komisi 3 pada waktu itu diminta memilih tapi tak Aku pilih dan Dia datang memohon Kepada Menkopolhukam Pak LBP pada waktu itu Shalom MERDEKA🇮🇩👍.",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
12,1250588040491225089,2020-04-16 00:53:18+00:00,1250588040491225089,2161,207,"Kenapa doyan ngebully Jenderal Luhut Binsar Pandjaitan ?, Jawabannya muda banget karena Pak LBP Batu Karang Yang Teguh disekitar Bpk Joko Widodo Presiden RI dan Warganet pada ikut2an karena Kwalitasnya menari diatas gendang Barisan Sakit Hati👺Kadrun2 yg Ngebacot MERDEKA🇮🇩👍.","Kenapa doyan ngebully Jenderal Luhut Binsar Pandjaitan ?, Jawabannya muda banget karena Pak LBP Batu Karang Yang Teguh disekitar Bpk Joko Widodo Presiden RI dan Warganet pada ikut2an karena Kwalitasnya menari diatas gendang Barisan Sakit Hati👺Kadrun2 yg Ngebacot MERDEKA🇮🇩👍.",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
13,1250368817403809794,2020-04-15 10:22:11+00:00,1250368817403809794,274,29,"Pengakuan Ojol Diizinkan Bawa Penumpang oleh Kemenhub, mantap ini membuktikan Pak LBP sangat dekat dgn Rakyat, Suara Rakyat Suara Tuhan MERDEKA🇮🇩👍. https://t.co/Fh2jq9sa9S","Pengakuan Ojol Diizinkan Bawa Penumpang oleh Kemenhub, mantap ini membuktikan Pak LBP sangat dekat dgn Rakyat, Suara Rakyat Suara Tuhan MERDEKA🇮🇩👍. viva.co.id/otomotif/12105…",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
14,1250367350081114112,2020-04-15 10:16:21+00:00,1250367350081114112,77,8,"Ekonomi Makin Sulit, PSBB Disarankan Tidak Larang Ojol Narik Penumpang, Aku kirim semua berita yg benar krn itu kalau bukan bidangnya jgn Asbun asal bunyi malukan ditertawakan Rakyat Indonesia yg sudah sangat cerdas hentikan jadi provokator MERDEKA🙏🇮🇩. https://t.co/PYVSCu2PG6","Ekonomi Makin Sulit, PSBB Disarankan Tidak Larang Ojol Narik Penumpang, Aku kirim semua berita yg benar krn itu kalau bukan bidangnya jgn Asbun asal bunyi malukan ditertawakan Rakyat Indonesia yg sudah sangat cerdas hentikan jadi provokator MERDEKA🙏🇮🇩. viva.co.id/otomotif/12107…",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
15,1250365611357560834,2020-04-15 10:09:27+00:00,1250365611357560834,125,10,"Ekonomi Makin Sulit, PSBB Disarankan Tidak Larang Ojol Narik Penumpang, karena itu tolong jangan asal komentar di twitter dan Medsos lainnya kalau sudah begini malukan itu Congor yg asal Nyinyir saja tong kosong nyaring bunyinya MERDEKA🇮🇩👍. https://t.co/PYVSCu2PG6","Ekonomi Makin Sulit, PSBB Disarankan Tidak Larang Ojol Narik Penumpang, karena itu tolong jangan asal komentar di twitter dan Medsos lainnya kalau sudah begini malukan itu Congor yg asal Nyinyir saja tong kosong nyaring bunyinya MERDEKA🇮🇩👍. viva.co.id/otomotif/12107…",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
16,1250364277732462592,2020-04-15 10:04:09+00:00,1250364277732462592,654,135,"Basuki Tegaskan Dana Pembangunan Ibu Kota Baru Belum Dialokasikan, sudah jelaskan jadi apa yg disampaikan MSD terhadap LBP Fitnah tdk mempunyai dasar hukum karena itu siap2 mendekati diborgol kalau sudah diproses sesuai Hukum yg berlaku MERDEKA🇮🇩👍. https://t.co/LVIXpWVlpL","Basuki Tegaskan Dana Pembangunan Ibu Kota Baru Belum Dialokasikan, sudah jelaskan jadi apa yg disampaikan MSD terhadap LBP Fitnah tdk mempunyai dasar hukum karena itu siap2 mendekati diborgol kalau sudah diproses sesuai Hukum yg berlaku MERDEKA🇮🇩👍. properti.kompas.com/read/2020/04/0…",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
17,1250351440171655168,2020-04-15 09:13:08+00:00,1250351440171655168,206,26,"Luhut Pandjaitan berbicara soal data virus Corona di Indonesia. Menurutnya, perbandingan korban jiwa dengan yang terjangkit Covid-19 sangat jauh jumlahnya. Tolong ya penjelasan Pak LBP didengar dgn baik, jgn langsung Ngebacot👺Nyinyir MERDEKA🇮🇩👍.

 https://t.co/WZjmQrOujo","Luhut Pandjaitan berbicara soal data virus Corona di Indonesia. Menurutnya, perbandingan korban jiwa dengan yang terjangkit Covid-19 sangat jauh jumlahnya. Tolong ya penjelasan Pak LBP didengar dgn baik, jgn langsung Ngebacot👺Nyinyir MERDEKA🇮🇩👍.

 news.detik.com/detiktv/d-4977…",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
18,1250338193360080900,2020-04-15 08:20:30+00:00,1250338193360080900,2,1,"@panca66 Hey gagap ngomong saja nggak bisa kasih komentar ngaco lagi pegawai tv sich coba2 jadi politisi ya taunya Ngebacot saja melalui twitter, pernyataan Pak LBP sudah Aku twit di Akun Aku yg pengikutnya 2 juta lebih banyak yg Like simpatik kau tolol sich Ka’cian deh.","@panca66 Hey gagap ngomong saja nggak bisa kasih komentar ngaco lagi pegawai tv sich coba2 jadi politisi ya taunya Ngebacot saja melalui twitter, pernyataan Pak LBP sudah Aku twit di Akun Aku yg pengikutnya 2 juta lebih banyak yg Like simpatik kau tolol sich Ka’cian deh.",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
19,1250296154996129792,2020-04-15 05:33:27+00:00,1250296154996129792,371,52,"Luhut Minta Pekerja Asal China Tidak Dipandang Negatif, mari Kita Rakyat Indonesia Berpikir Positif menuju Indonesia Maju MERDEKA👍. https://t.co/A55e6J4z4u","Luhut Minta Pekerja Asal China Tidak Dipandang Negatif, mari Kita Rakyat Indonesia Berpikir Positif menuju Indonesia Maju MERDEKA👍. ekbis.sindonews.com/read/1566/34/l…",,,ruhutsitompul,Jakarta,2341374,194787,3630,22683
